country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,daily_vaccinations_avg,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Afghanistan,2021-02-22,0,0,0,0,0,0.0,0.0,0.0
Afghanistan,2021-02-23,0,0,0,0,1367,0.0,0.0,0.0
Afghanistan,2021-02-24,0,0,0,0,1367,0.0,0.0,0.0
Afghanistan,2021-02-25,0,0,0,0,1367,0.0,0.0,0.0
Afghanistan,2021-02-26,0,0,0,0,1367,0.0,0.0,0.0
Afghanistan,2021-02-27,0,0,0,0,1367,0.0,0.0,0.0
Afghanistan,2021-02-28,8200,8200,0,0,1367,0.02,0.02,0.0
Afghanistan,2021-03-01,8200,8200,0,0,1580,0.02,0.02,0.0
Afghanistan,2021-03-02,8200,8200,0,0,1794,0.02,0.02,0.0
Afghanistan,2021-03-03,8200,8200,0,0,2008,0.02,0.02,0.0
Afghanistan,2021-03-04,8200,8200,0,0,2221,0.02,0.02,0.0
Afghanistan,2021-03-05,8200,8200,0,0,2435,0.02,0.02,0.0
Afghanistan,2021-03-06,8200,8200,0,0,2649,0.02,0.02,0.0
Afghanistan,2021-03-07,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-08,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-09,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-10,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-11,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-12,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-13,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-14,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-15,8200,8200,0,0,2862,0.02,0.02,0.0
Afghanistan,2021-03-16,54000,54000,0,0,2862,0.14,0.14,0.0
Afghanistan,2021-03-17,54000,54000,0,0,2882,0.14,0.14,0.0
Afghanistan,2021-03-18,54000,54000,0,0,2902,0.14,0.14,0.0
Afghanistan,2021-03-19,54000,54000,0,0,2921,0.14,0.14,0.0
Afghanistan,2021-03-20,54000,54000,0,0,2941,0.14,0.14,0.0
Afghanistan,2021-03-21,54000,54000,0,0,2961,0.14,0.14,0.0
Afghanistan,2021-03-22,54000,54000,0,0,2980,0.14,0.14,0.0
Afghanistan,2021-03-23,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-24,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-25,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-26,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-27,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-28,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-29,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-30,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-03-31,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-04-01,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-04-02,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-04-03,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-04-04,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-04-05,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-04-06,54000,54000,0,0,3000,0.14,0.14,0.0
Afghanistan,2021-04-07,120000,120000,0,0,3000,0.31,0.31,0.0
Afghanistan,2021-04-08,120000,120000,0,0,3714,0.31,0.31,0.0
Afghanistan,2021-04-09,120000,120000,0,0,4429,0.31,0.31,0.0
Afghanistan,2021-04-10,120000,120000,0,0,5143,0.31,0.31,0.0
Afghanistan,2021-04-11,120000,120000,0,0,5857,0.31,0.31,0.0
Afghanistan,2021-04-12,120000,120000,0,0,6571,0.31,0.31,0.0
Afghanistan,2021-04-13,120000,120000,0,0,7286,0.31,0.31,0.0
Afghanistan,2021-04-14,120000,120000,0,0,8000,0.31,0.31,0.0
Afghanistan,2021-04-15,120000,120000,0,0,8000,0.31,0.31,0.0
Afghanistan,2021-04-16,120000,120000,0,0,8000,0.31,0.31,0.0
