country,date,total_vaccinations,people_vaccinated_only_1st_dose,people_fully_vaccinated,daily_vaccinations,daily_vaccinations_avgd,%_people_vaccinated,%_people_vaccinated_only_1st_dose,%_people_fully_vaccinated,vaccines
Afghanistan,2021-02-22,0,0,0,0,0,0.0,0.0,0.0,Oxford/AstraZeneca
Afghanistan,2021-02-23,0,0,0,0,1367,0.0,0.0,0.0,Oxford/AstraZeneca
Afghanistan,2021-02-24,0,0,0,0,1367,0.0,0.0,0.0,Oxford/AstraZeneca
Afghanistan,2021-02-25,0,0,0,0,1367,0.0,0.0,0.0,Oxford/AstraZeneca
Afghanistan,2021-02-26,0,0,0,0,1367,0.0,0.0,0.0,Oxford/AstraZeneca
Afghanistan,2021-02-27,0,0,0,0,1367,0.0,0.0,0.0,Oxford/AstraZeneca
Afghanistan,2021-02-28,8200,8200,0,0,1367,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-01,8200,8200,0,0,1580,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-02,8200,8200,0,0,1794,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-03,8200,8200,0,0,2008,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-04,8200,8200,0,0,2221,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-05,8200,8200,0,0,2435,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-06,8200,8200,0,0,2649,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-07,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-08,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-09,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-10,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-11,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-12,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-13,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-14,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-15,8200,8200,0,0,2862,0.02,0.02,0.0,Oxford/AstraZeneca
Afghanistan,2021-03-16,54000,54000,0,0,2862,0.14,0.14,0.0,Oxford/AstraZeneca
